category_id,game_id
5,14594
5,74
5,15774
5,1226
5,15364
5,2072
5,6332
5,538
5,14540
5,17931
5,8188
5,1396
5,15765
5,12251
5,11101
5,1342
5,13085
5,30
5,1733
5,9645
5,3612
5,1894
5,1210
5,190
5,5332
5,48
5,138
5,97
5,4884
5,9382
5,7253
5,5233
5,1150
5,11528
5,9981
5,2121
5,1060
5,5280
5,4133
6,2584
6,5487
6,4303
6,415
6,7126
6,14122
6,4321
6,627
6,6431
6,7346
6,3480
6,11737
6,3831
6,9551
7,15664
7,16047
7,9684
7,11717
7,357
7,10843
7,9136
7,4062
7,5558
7,2588
7,11751
7,7836
7,2020
7,745
7,1651
7,5194
7,1270
7,4004
7,1296
7,3234
7,3625
7,2513
7,7073
7,467
7,371
7,3750
7,5059
7,19106
7,12003
7,7256
7,9856
7,5016
7,633
7,9087
7,13008
7,13558
7,15105
7,14675
7,17202
7,12417
7,367
7,194
7,3458
7,4867
7,7204
7,6160
7,372
7,2145
7,353
7,15766
7,5266
7,2163
7,7363
7,6579
7,7089
7,16053
7,4066
7,17669
7,5197
7,9437
7,19910
8,5625
8,5572
8,519
8,7501
8,12900
8,9150
8,17089
8,6552
8,9147
8,11808
8,423
8,14008
8,3961
8,13484
8,13704
8,14877
8,13425
8,5721
8,488
8,6534
8,501
8,5105
8,3303
8,4985
8,7607
8,13865
8,389
8,6411
8,13474
8,14264
8,9758
8,6059
8,118
8,7636
8,8709
8,4502
8,11794
8,6969
8,988
8,914
8,814
8,5938
8,3569
8,14586
8,13864
8,75
8,747
8,6395
8,9962
8,14657
8,2252
8,9519
8,821
8,7075
8,4212
8,9816
8,13663
8,14116
8,2116
8,6792
8,9331
8,8248
8,8485
8,15629
8,2185
8,14405
8,12697
8,1665
8,514
8,5223
8,16380
8,8314
8,4420
8,261
8,9664
8,2468
8,1468
8,17023
8,8128
8,909
8,9711
8,9710
9,348
9,534
9,785
9,10108
9,3154
9,946
9,4428
9,1002
9,11550
9,15174
9,15986
9,902
9,497
9,2385
9,2720
9,1000
9,852
9,13061
9,5521
9,16087
9,13356
9,15985
9,5180
9,3680
9,1148
